areacd,category,value
E01013754,Gross value added,34.108
E01013755,Gross value added,8.143
E01013756,Gross value added,13.312
E01013757,Gross value added,5.826
E01013758,Gross value added,20.706
E01013759,Gross value added,9.402
E01013760,Gross value added,10.856
E01013761,Gross value added,5.261
E01013762,Gross value added,4.758
E01013763,Gross value added,19.951
E01013764,Gross value added,10.216
E01013765,Gross value added,7.895
E01013766,Gross value added,20.74
E01013767,Gross value added,8.825
E01013768,Gross value added,7.306
E01013770,Gross value added,6.633
E01013771,Gross value added,25.131
E01013772,Gross value added,6.968
E01013773,Gross value added,3.852
E01013774,Gross value added,26.455
E01013775,Gross value added,18.922
E01013776,Gross value added,11.354
E01013777,Gross value added,13.002
E01013778,Gross value added,189.464
E01013779,Gross value added,11.51
E01013780,Gross value added,11.612
E01013781,Gross value added,5.725
E01013782,Gross value added,21.653
E01013783,Gross value added,11.171
E01013784,Gross value added,4.392
E01013785,Gross value added,8.537
E01013786,Gross value added,5.819
E01013787,Gross value added,13.522
E01013788,Gross value added,59.011
E01013789,Gross value added,27.636
E01013790,Gross value added,58.745
E01013791,Gross value added,46.795
E01013792,Gross value added,17.561
E01013793,Gross value added,10.396
E01013794,Gross value added,16.337
E01013795,Gross value added,36.626
E01013796,Gross value added,36.11
E01013797,Gross value added,32.117
E01013798,Gross value added,27.873
E01013799,Gross value added,71.296
E01013800,Gross value added,8.781
E01013801,Gross value added,110.367
E01013802,Gross value added,41.695
E01013803,Gross value added,7.614
E01013804,Gross value added,24.353
E01013805,Gross value added,20.513
E01013806,Gross value added,42.155
E01013807,Gross value added,27.126
E01013808,Gross value added,8.243
E01013809,Gross value added,12.728
E01013810,Gross value added,7.544
E01013811,Gross value added,34.54
E01013812,Gross value added,5.283
E01013813,Gross value added,13.534
E01013814,Gross value added,77.14
E01013815,Gross value added,77.14
E01013816,Gross value added,458.817
E01013817,Gross value added,12.407
E01013818,Gross value added,1.707
E01013819,Gross value added,7.724
E01013820,Gross value added,8.702
E01013821,Gross value added,3.433
